Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
Benutzer:Master of Contributions/Vorlage:Formatvorlage (Verb),spiele,spielst,spielt,spielte,gespielt,spielte,spiel,spielt,haben
Benutzer:TaxonBot/lieben,-,-,-,-,geliebt,liebte,liebe,liebt,haben
Benutzer:Thirunavukkarasye-Raveendran/abstoßen,-,-,-,-,abgestoßen,stieße ab,stoße ab!,stoßt ab!,haben
Benutzer:Udo T./gehen,gehe,gehst,geht,ging,gegangen,ginge,geh,geht,sein
Benutzer:Yoursmile/FV/Verb,e,st,t,te,get,te,,t,haben
beobachten,beobachte,beobachtest,beobachtet,beobachtete,beobachtet,beobachtete,beobachte,beobachtet,haben
beölen,beöle,beölst,beölt,beölte,beölt,beölte,beöl,beölt,haben
beömmeln,beömmel,beömmelst,beömmelt,beömmelte,beömmelt,beömmelte,beömmel,beömmelt,haben
beordern,beordere,beorderst,beordert,beorderte,beordert,beorderte,beorder,beordert,haben
bepacken,bepacke,bepackst,bepackt,bepackte,bepackt,bepackte,bepack,bepackt,haben
bepflanzen,bepflanze,bepflanzt,bepflanzt,bepflanzte,bepflanzt,bepflanzte,bepflanz,bepflanzt,haben
bepflastern,bepflastere,bepflasterst,bepflastert,bepflasterte,bepflastert,bepflasterte,bepflaster,bepflastert,haben
bepinkeln,bepinkele,bepinkelst,bepinkelt,bepinkelte,bepinkelt,bepinkelte,bepinkel,bepinkelt,haben
bepinseln,bepinsele,bepinselst,bepinselt,bepinselte,bepinselt,bepinselte,bepinsel,bepinselt,haben
bepissen,bepisse,bepisst,bepisst,bepisste,bepisst,bepisste,bepiss,bepisst,haben
beplauschen,beplausche,beplauschst,beplauscht,beplauschte,beplauscht,beplauschte,beplausch,beplauscht,haben
bepreisen,bepreise,bepreist,bepreist,bepreiste,bepreist,bepreiste,bepreis,bepreist,haben
bepudern,bepudere,bepuderst,bepudert,bepuderte,bepudert,bepuderte,bepuder,bepudert,haben
bequasseln,bequassele,bequasselst,bequasselt,bequasselte,bequasselt,bequasselte,bequassel,bequasselt,haben
bequatschen,bequatsche,bequatschst,bequatscht,bequatschte,bequatscht,bequatschte,bequatsch,bequatscht,haben
bequemen,bequeme,bequemst,bequemt,bequemte,bequemt,bequemte,bequem,bequemt,haben
beranken,beranke,berankst,berankt,berankte,berankt,berankte,beranke,berankt,haben
berappeln,berappele,berappelst,berappelt,berappelte,berappelt,berappelte,berappel,berappelt,haben
berappen,berappe,berappst,berappt,berappte,berappt,berappte,berapp,berappt,haben
beraten,berate,berätst,berät,beriet,beraten,beriete,berate,beratet,haben
beratschlagen,beratschlage,beratschlagst,beratschlagt,beratschlagte,beratschlagt,beratschlagte,beratschlag,beratschlagt,haben
berauben,beraube,beraubst,beraubt,beraubte,beraubt,beraubte,beraub,beraubt,haben
beräumen,beräume,beräumst,beräumt,beräumte,beräumt,beräumte,beräum,beräumt,haben
berauschen,berausche,berauschst,berauscht,berauschte,berauscht,berauschte,berausch,berauscht,haben
berechnen,berechne,berechnest,berechnet,berechnete,berechnet,berechnete,berechne,berechnet,haben
berechtigen,berechtige,berechtigst,berechtigt,berechtigte,berechtigt,berechtigte,berechtig,berechtigt,haben
bereden,berede,beredest,beredet,beredete,beredet,beredete,bered,beredet,haben
bereedern,bereedere,bereederst,bereedert,bereederte,bereedert,bereederte,bereedere,bereedert,haben
beregnen,beregne,beregnest,beregnet,beregnete,beregnet,beregnete,beregne,beregnet,haben
bereichern,bereichere,bereicherst,bereichert,bereicherte,bereichert,bereicherte,bereichere,bereichert,haben
bereifen,bereife,bereifst,bereift,bereifte,bereift,bereifte,bereif,bereift,haben
bereinigen,bereinige,bereinigst,bereinigt,bereinigte,bereinigt,bereinigte,bereinig,bereinigt,haben
bereisen,bereise,bereist,bereist,bereiste,bereist,bereiste,bereis,bereist,haben
bereiten,bereite,bereitest,bereitet,bereitete,bereitet,bereitete,bereite,bereitet,haben
bereithalten,halte bereit,hältst bereit,hält bereit,hielt bereit,bereitgehalten,hielte bereit,halt bereit,haltet bereit,haben
bereitstehen,stehe bereit,stehst bereit,steht bereit,stand bereit,bereitgestanden,stünde bereit,stehe bereit,steht bereit,haben
bereitstellen,stelle bereit,stellst bereit,stellt bereit,stellte bereit,bereitgestellt,stellte bereit,stelle bereit,stellt bereit,haben
berennen,berenne,berennst,berennt,berannte,berannt,berennte,berenn,berennt,haben
berenten,berente,berentest,berentet,berentete,berentet,berentete,berent,berentet,haben
bereuen,bereue,bereust,bereut,bereute,bereut,bereute,bereu,bereut,haben
bergen,berge,birgst,birgt,barg,geborgen,bärge,birg,bergt,haben
bergsteigen,bergsteige,bergsteigst,bergsteigt,bergstieg,berggestiegen,bergstiege,bergsteige,bergsteigt,haben
berichten,berichte,berichtest,berichtet,berichtete,berichtet,berichtete,berichte,berichtet,haben
berichtigen,berichtige,berichtigst,berichtigt,berichtigte,berichtigt,berichtigte,berichtige,berichtigt,haben
beriechen,berieche,beriechst,beriecht,beroch,berochen,beröche,beriech,beriecht,haben
berieseln,beriesele,berieselst,berieselt,berieselte,berieselt,berieselte,beriesel,berieselt,haben
beringen,beringe,beringst,beringt,beringte,beringt,beringte,bering,beringt,haben
berlinern,berlinere,berlinerst,berlinert,berlinerte,berlinert,berlinerte,berlinere,berlinert,haben
berohren,berohre,berohrst,berohrt,berohrte,berohrt,berohrte,berohr,berohrt,haben
bersten,berste,birst,birst,barst,geborsten,bärste,birst,berstet,sein
berücken,berücke,berückst,berückt,berückte,berückt,berückte,berück,berückt,haben
berücksichtigen,berücksichtige,berücksichtigst,berücksichtigt,berücksichtigte,berücksichtigt,berücksichtigte,berücksichtige,berücksichtigt,haben
berufen,berufe,berufst,beruft,berief,berufen,beriefe,beruf,beruft,haben
beruhen,—,—,beruht,beruhte,beruht,beruhte,—,—,haben
beruhigen,beruhige,beruhigst,beruhigt,beruhigte,beruhigt,beruhigte,beruhige,beruhigt,haben
berühmen,berühme,berühmst,berühmt,berühmte,berühmt,berühmte,berühm,berühmt,haben
berühren,berühre,berührst,berührt,berührte,berührt,berührte,berühr,berührt,haben
berußen,beruße,berußt,berußt,berußte,berußt,berußte,beruß,berußt,haben
besabbeln,besabbele,besabbelst,besabbelt,besabbelte,besabbelt,besabbelte,besabbel,besabbelt,haben
besabbern,besabbere,besabberst,besabbert,besabberte,besabbert,besabberte,besabber,besabbert,haben
besäen,besäe,besäst,besät,besäte,besät,besäte,besä,besät,haben
besagen,—,—,besagt,besagte,besagt,besagte,—,—,haben
besaiten,besaite,besaitest,besaitet,besaitete,besaitet,besaitete,besait,besaitet,haben
besamen,besame,besamst,besamt,besamte,besamt,besamte,besam,besamt,haben
besammeln,besammele,besammelst,besammelt,besammelte,besammelt,besammelte,besammel,besammelt,haben
besanden,besande,besandest,besandet,besandete,besandet,besandete,besand,besandet,haben
besänftigen,besänftige,besänftigst,besänftigt,besänftigte,besänftigt,besänftigte,besänftige,besänftigt,haben
besaufen,besaufe,besäufst,besäuft,besoff,besoffen,besöffe,besauf,besauft,haben
besäumen,besäume,besäumst,besäumt,besäumte,besäumt,besäumte,besäum,besäumt,haben
besäuseln,besäusele,besäuselst,besäuselt,besäuselte,besäuselt,besäuselte,besäusel,besäuselt,haben
beschädigen,beschädige,beschädigst,beschädigt,beschädigte,beschädigt,beschädigte,beschädige,beschädigt,haben
beschaffen,beschaffe,beschaffst,beschafft,beschaffte,beschafft,beschaffte,beschaffe,beschafft,haben
beschäftigen,beschäftige,beschäftigst,beschäftigt,beschäftigte,beschäftigt,beschäftigte,beschäftige,beschäftigt,haben
beschälen,—,—,beschält,beschälte,beschält,beschälte,—,—,haben
beschallen,beschalle,beschallst,beschallt,beschallte,beschallt,beschallte,beschall,beschallt,haben
beschalten,beschalte,beschaltest,beschaltet,beschaltete,beschaltet,beschaltete,beschalt,beschaltet,haben
beschämen,beschäme,beschämst,beschämt,beschämte,beschämt,beschämte,beschäme,beschämt,haben
beschatten,beschatte,beschattest,beschattet,beschattete,beschattet,beschattete,beschatte,beschattet,haben
beschauen,beschaue,beschaust,beschaut,beschaute,beschaut,beschaute,beschaue,beschaut,haben
beschäumen,beschäume,beschäumst,beschäumt,beschäumte,beschäumt,beschäumte,beschäum,beschäumt,haben
Bescheid sagen,sage Bescheid,sagst Bescheid,sagt Bescheid,sagte Bescheid,Bescheid gesagt,sagte Bescheid,sage Bescheid,sagt Bescheid,haben
bescheiden,bescheide,bescheidest,bescheidet,beschied,beschieden,beschiede,bescheid,bescheidet,haben
bescheinen,bescheine,bescheinst,bescheint,beschien,beschienen,beschiene,beschein,bescheint,haben
bescheinigen,bescheinige,bescheinigst,bescheinigt,bescheinigte,bescheinigt,bescheinigte,bescheinig,bescheinigt,haben
bescheißen,bescheiße,bescheißt,bescheißt,beschiss,beschissen,beschisse,bescheiße,bescheißt,haben
beschenken,beschenke,beschenkst,beschenkt,beschenkte,beschenkt,beschenkte,beschenk,beschenkt,haben
bescheren,beschere,bescherst,beschert,bescherte,beschert,bescherte,beschere,beschert,haben
bescherzen,bescherze,bescherzt,bescherzt,bescherzte,bescherzt,bescherzte,bescherz,bescherzt,haben
beschichten,beschichte,beschichtest,beschichtet,beschichtete,beschichtet,beschichtete,beschicht,beschichtet,haben
beschicken,beschicke,beschickst,beschickt,beschickte,beschickt,beschickte,beschick,beschickt,haben
beschickern,beschickere,beschickerst,beschickert,beschickerte,beschickert,beschickerte,beschickere,beschickert,haben
beschienen,beschiene,beschienst,beschient,beschiente,beschient,beschiente,beschien,beschient,haben
beschießen,beschieße,beschießt,beschießt,beschoss,beschossen,beschösse,beschieß,beschießt,haben
beschiffen,beschiffe,beschiffst,beschifft,beschiffte,beschifft,beschiffte,beschiff,beschifft,haben
beschildern,beschildere,beschilderst,beschildert,beschilderte,beschildert,beschilderte,beschilder,beschildert,haben
beschimpfen,beschimpfe,beschimpfst,beschimpft,beschimpfte,beschimpft,beschimpfte,beschimpfe,beschimpft,haben
beschirmen,beschirme,beschirmst,beschirmt,beschirmte,beschirmt,beschirmte,beschirm,beschirmt,haben
beschlabbern,beschlabbere,beschlabberst,beschlabbert,beschlabberte,beschlabbert,beschlabberte,beschlabber,beschlabbert,haben
beschlafen,beschlafe,beschläfst,beschläft,beschlief,beschlafen,beschliefe,beschlafe,beschlaft,haben
beschlagen,beschlage,beschlägst,beschlägt,beschlug,beschlagen,beschlüge,beschlag,beschlagt,haben
beschlagnahmen,beschlagnahme,beschlagnahmst,beschlagnahmt,beschlagnahmte,beschlagnahmt,beschlagnahmte,beschlagnahm,beschlagnahmt,haben
beschleichen,beschleiche,beschleichst,beschleicht,beschlich,beschlichen,beschliche,beschleich,beschleicht,haben
beschleunigen,beschleunige,beschleunigst,beschleunigt,beschleunigte,beschleunigt,beschleunigte,beschleunig,beschleunigt,haben
beschleusen,beschleuse,beschleust,beschleust,beschleuste,beschleust,beschleuste,beschleus,beschleust,haben
beschließen,beschließe,beschließt,beschließt,beschloss,beschlossen,beschlösse,beschließe,beschließt,haben
beschmeißen,beschmeiße,beschmeißt,beschmeißt,beschmiss,beschmissen,beschmisse,beschmeiß,beschmeißt,haben
beschmieren,beschmiere,beschmierst,beschmiert,beschmierte,beschmiert,beschmierte,beschmier,beschmiert,haben
beschmuhen,beschmuhe,beschmuhst,beschmuht,beschmuhte,beschmuht,beschmuhte,beschmuh,beschmuht,haben
beschmunzeln,beschmunzele,beschmunzelst,beschmunzelt,beschmunzelte,beschmunzelt,beschmunzelte,beschmunzel,beschmunzelt,haben
beschmusen,beschmuse,beschmust,beschmust,beschmuste,beschmust,beschmuste,beschmus,beschmust,haben
beschmutzen,beschmutze,beschmutzt,beschmutzt,beschmutzte,beschmutzt,beschmutzte,beschmutze,beschmutzt,haben
beschnacken,beschnacke,beschnackst,beschnackt,beschnackte,beschnackt,beschnackte,beschnack,beschnackt,haben
beschnarchen,beschnarche,beschnarchst,beschnarcht,beschnarchte,beschnarcht,beschnarchte,beschnarch,beschnarcht,haben
beschneiden,beschneide,beschneidest,beschneidet,beschnitt,beschnitten,beschnitte,beschneide,beschneidet,haben
beschneien,beschneie,beschneist,beschneit,beschneite,beschneit,beschneite,beschnei,beschneit,haben
beschnüffeln,beschnüffele,beschnüffelst,beschnüffelt,beschnüffelte,beschnüffelt,beschnüffelte,beschnüffel,beschnüffelt,haben
beschnuppern,beschnuppere,beschnupperst,beschnuppert,beschnupperte,beschnuppert,beschnupperte,beschnupper,beschnuppert,haben
beschönigen,beschönige,beschönigst,beschönigt,beschönigte,beschönigt,beschönigte,beschönige,beschönigt,haben
beschottern,beschottere,beschotterst,beschottert,beschotterte,beschottert,beschotterte,beschotter,beschottert,haben
beschranken,beschranke,beschrankst,beschrankt,beschrankte,beschrankt,beschrankte,beschrank,beschrankt,haben
beschränken,beschränke,beschränkst,beschränkt,beschränkte,beschränkt,beschränkte,beschränk,beschränkt,haben
beschreiben,beschreibe,beschreibst,beschreibt,beschrieb,beschrieben,beschriebe,beschreibe,beschreibt,haben
beschreien,beschreie,beschreist,beschreit,beschrie,beschrien,beschrie,beschrei,beschreit,haben
beschreiten,beschreite,beschreitest,beschreitet,beschritt,beschritten,beschritte,beschreit,beschreitet,haben
beschriften,beschrifte,beschriftest,beschriftet,beschriftete,beschriftet,beschriftete,beschrift,beschriftet,haben
beschubsen,beschubse,beschubst,beschubst,beschubste,beschubst,beschubste,beschubs,beschubst,haben
beschuhen,beschuhe,beschuhst,beschuht,beschuhte,beschuht,beschuhte,beschuh,beschuht,haben
beschuldigen,beschuldige,beschuldigst,beschuldigt,beschuldigte,beschuldigt,beschuldigte,beschuldig,beschuldigt,haben
beschulen,beschule,beschulst,beschult,beschulte,beschult,beschulte,beschul,beschult,haben
beschummeln,beschummele,beschummelst,beschummelt,beschummelte,beschummelt,beschummelte,beschummel,beschummelt,haben
beschuppen,beschuppe,beschuppst,beschuppt,beschuppte,beschuppt,beschuppte,beschupp,beschuppt,haben
beschupsen,beschupse,beschupst,beschupst,beschupste,beschupst,beschupste,beschups,beschupst,haben
beschütten,beschütte,beschüttest,beschüttet,beschüttete,beschüttet,beschüttete,beschütt,beschüttet,haben
beschützen,beschütze,beschützt,beschützt,beschützte,beschützt,beschützte,beschütze,beschützt,haben
beschwägern,beschwägere,beschwägerst,beschwägert,beschwägerte,beschwägert,beschwägerte,beschwäger,beschwägert,haben
beschwatzen,beschwatze,beschwatzt,beschwatzt,beschwatzte,beschwatzt,beschwatzte,beschwatz,beschwatzt,haben
beschwätzen,beschwätze,beschwätzt,beschwätzt,beschwätzte,beschwätzt,beschwätzte,beschwätz,beschwätzt,haben
beschweigen,beschweige,beschweigst,beschweigt,beschwieg,beschwiegen,beschwiege,beschweige,beschweigt,haben
beschweren,beschwere,beschwerst,beschwert,beschwerte,beschwert,beschwerte,beschwere,beschwert,haben
beschwichtigen,beschwichtige,beschwichtigst,beschwichtigt,beschwichtigte,beschwichtigt,beschwichtigte,beschwichtig,beschwichtigt,haben
beschwindeln,beschwindle,beschwindelst,beschwindelt,beschwindelte,beschwindelt,beschwindelte,beschwindle,beschwindelt,haben
beschwingen,beschwinge,beschwingst,beschwingt,beschwingte,beschwingt,beschwingte,beschwing,beschwingt,haben
beschwipsen,beschwipse,beschwipst,beschwipst,beschwipste,beschwipst,beschwipste,beschwips,beschwipst,haben
beschwören,beschwöre,beschwörst,beschwört,beschwor,beschworen,beschwöre,beschwöre,beschwört,haben
besebeln,besebele,besebelst,besebelt,besebelte,besebelt,besebelte,besebele,besebelt,haben
beseelen,beseele,beseelst,beseelt,beseelte,beseelt,beseelte,beseel,beseelt,haben
besegeln,besegele,besegelst,besegelt,besegelte,besegelt,besegelte,besegel,besegelt,haben
besehen,besehe,besiehst,besieht,besah,besehen,besähe,besieh,beseht,haben
beseichen,beseiche,beseichst,beseicht,beseichte,beseicht,beseichte,beseich,beseicht,haben
beseitigen,beseitige,beseitigst,beseitigt,beseitigte,beseitigt,beseitigte,beseitige,beseitigt,haben
beseligen,beselige,beseligst,beseligt,beseligte,beseligt,beseligte,beselig,beseligt,haben
besendern,besendere,besenderst,besendert,besenderte,besendert,besenderte,besendere,besendert,haben
besetzen,besetze,besetzt,besetzt,besetzte,besetzt,besetzte,besetze,besetzt,haben
beseufzen,beseufze,beseufzt,beseufzt,beseufzte,beseufzt,beseufzte,beseufz,beseufzt,haben
besichern,besichere,besicherst,besichert,besicherte,besichert,besicherte,besicher,besichert,haben
besichtigen,besichtige,besichtigst,besichtigt,besichtigte,besichtigt,besichtigte,besichtige,besichtigt,haben
besiedeln,besiedle,besiedelst,besiedelt,besiedelte,besiedelt,besiedelte,besiedel,besiedelt,haben
besiegeln,besiegele,besiegelst,besiegelt,besiegelte,besiegelt,besiegelte,besiegele,besiegelt,haben
besiegen,besiege,besiegst,besiegt,besiegte,besiegt,besiegte,besieg,besiegt,haben
besingen,besinge,besingst,besingt,besang,besungen,besänge,besing,besingt,haben
besinnen,besinne,besinnst,besinnt,besann,besonnen,besänne,besinn,besinnt,haben
besitzen,besitze,besitzt,besitzt,besaß,besessen,besäße,besitze,besitzt,haben
besohlen,besohle,besohlst,besohlt,besohlte,besohlt,besohlte,besohl,besohlt,haben
besolden,besolde,besoldest,besoldet,besoldete,besoldet,besoldete,besold,besoldet,haben
besömmern,besömmere,besömmerst,besömmert,besömmerte,besömmert,besömmerte,besömmer,besömmert,haben
besorgen,besorge,besorgst,besorgt,besorgte,besorgt,besorgte,besorge,besorgt,haben
bespannen,bespanne,bespannst,bespannt,bespannte,bespannt,bespannte,bespann,bespannt,haben
bespaßen,bespaße,bespaßt,bespaßt,bespaßte,bespaßt,bespaßte,bespaße,bespaßt,haben
bespeien,bespeie,bespeist,bespeit,bespie,bespien,bespie,bespei,bespeit,haben
bespicken,bespicke,bespickst,bespickt,bespickte,bespickt,bespickte,bespick,bespickt,haben
bespiegeln,bespiegele,bespiegelst,bespiegelt,bespiegelte,bespiegelt,bespiegelte,bespiegel,bespiegelt,haben
bespielen,bespiele,bespielst,bespielt,bespielte,bespielt,bespielte,bespiel,bespielt,haben
bespiken,bespike,bespikst,bespikt,bespikte,bespikt,bespikte,bespik,bespikt,haben
bespitzeln,bespitzele,bespitzelst,bespitzelt,bespitzelte,bespitzelt,bespitzelte,bespitzel,bespitzelt,haben
bespötteln,bespöttle,bespöttelst,bespöttelt,bespöttelte,bespöttelt,bespöttelte,bespöttle,bespöttelt,haben
bespotten,bespotte,bespottest,bespottet,bespottete,bespottet,bespottete,bespott,bespottet,haben
besprayen,bespraye,besprayst,besprayt,besprayte,besprayt,besprayte,bespray,besprayt,haben
besprechen,bespreche,besprichst,bespricht,besprach,besprochen,bespräche,besprich,besprecht,haben
besprengen,besprenge,besprengst,besprengt,besprengte,besprengt,besprengte,bespreng,besprengt,haben
besprenkeln,besprenkele,besprenkelst,besprenkelt,besprenkelte,besprenkelt,besprenkelte,besprenkel,besprenkelt,haben
bespringen,bespringe,bespringst,bespringt,besprang,besprungen,bespränge,bespring,bespringt,haben
bespritzen,bespritze,bespritzt,bespritzt,bespritzte,bespritzt,bespritzte,bespritz,bespritzt,haben
besprühen,besprühe,besprühst,besprüht,besprühte,besprüht,besprühte,besprüh,besprüht,haben
bespucken,bespucke,bespuckst,bespuckt,bespuckte,bespuckt,bespuckte,bespuck,bespuckt,haben
bespülen,bespüle,bespülst,bespült,bespülte,bespült,bespülte,bespül,bespült,haben
bessemern,bessemere,bessemerst,bessemert,bessemerte,gebessemert,bessemerte,bessemer,bessemert,haben
